babyrates
Data Source,,,
,,,
Last Updated Date,,,
,,,
Russian Federation,1836892075547.52,1.493,
Rwanda,11054517345.7109,3.821,
South Asia,4062850047299.39,2.24093002461978,
Saudi Arabia,874156115900.131,2.427,
Sudan,34229513773.9708,4.457,
Senegal,27569136729.9023,4.387,
Singapore,423797100521.555,1.12,
Solomon Islands,1580303515.40945,3.983,
Sierra Leone,4249234704.01866,3.978,
El Salvador,29451240000,1.803,
San Marino,1855382833.1165,,
Somalia,9838711529.45863,6.312,
Serbia,63101069561.2193,1.48,
Sub-Saharan Africa (excluding high income),1930171554030.08,4.60146259186657,
South Sudan,,4.469,
Sub-Saharan Africa,1931458241338.34,4.60128828278526,
Small states,542727261728.343,2.65589310681651,
Sao Tome and Principe,524402450.755612,3.823,
Suriname,3081401725.88833,2.348,
Slovak Republic,118576482542.583,1.64,
Slovenia,61832201543.8285,1.64,
Sweden,639714956069.468,1.67,
Eswatini,4850842571.59151,2.839,
Sint Maarten (Dutch part),1353071060.2652,1.581,
Seychelles,1286687308.25807,2.46,
Syrian Arab Republic,8969512933.38826,2.747,
Turks and Caicos Islands,1044778790,1.669,
Chad,11779981332.8631,6.255,
East Asia & Pacific (IDA & IBRD countries),20813163295456.1,1.51684616618231,
Europe & Central Asia (IDA & IBRD countries),4616362221588.67,1.83461899456449,
Togo,8443112143.23844,4.257,
Thailand,505568063988.806,1.331,
Tajikistan,8937805347.13963,3.186,
Turkmenistan,50007428571.4286,2.667,
Latin America & the Caribbean (IDA & IBRD countries),5281323492901.43,1.8640224462816,
Timor-Leste,3621958000,3.149,
Middle East & North Africa (IDA & IBRD countries),1482949612658.02,2.66082323687331,
Tonga,469228219.665791,3.237,
South Asia (IDA & IBRD),4062850047299.39,2.24093002461978,
Sub-Saharan Africa (IDA & IBRD countries),1931458241338.34,4.60128828278526,
Trinidad and Tobago,24496505940.6673,1.626,
Tunisia,46687293140.3377,2.086,
Turkiye,819865253669.661,1.889,
Tuvalu,60196405.7138393,3.163,
Tanzania,70655628147.8986,4.726,
Uganda,40510241365.8914,4.585,
Ukraine,199765859570.935,1.16,
Upper middle income,28933254272818.9,1.5676413556164,
Uruguay,61412268248.9461,1.493,
United States,23315080560000,1.664,
Uzbekistan,69600614987.3509,3.173,
St. Vincent and the Grenadines,872222222.222222,1.797,
"Venezuela, RB",,2.211,
British Virgin Islands,,1.005,
Virgin Islands (U.S.),4444000000,2.01,
Viet Nam,366137569122.215,1.944,
Vanuatu,971636097.850666,3.735,
World,97529676807424.8,2.27316335245758,
Samoa,843923638.733018,3.93,
Kosovo,9412034299.23122,1.522,
"Yemen, Rep.",,3.795,
South Africa,420117812463.841,2.374,
Zambia,22096416933.7902,4.308,
Zimbabwe,28371238665.8646,3.491,
